"ACC_MIL","ACH_MIL","YEAR","STATE_SHORT","POP_MIL","SUSPEND","INTERLOCK_1ST","INTERLOCK_REPEAT","GALLONS_ALCOHOL_PER_CAP_21","BEER_TAX","PERCENT_POVERTY","MEDIAN_INCOME","PERCENT_UNINSURE","LESS_HS_P","HS_P","SOME_C_P","BACHELORS_P","GRAD_PROF_P"
552.7662814316,31.9267669136,2011,"TX",27.469114,"yes","no","yes",26060,0.19,18.5,49390,25.7,0.1957391732,0.2566033822,0.2870761823,0.1744305714,0.0861506909
552.7662814316,31.7083397739,2012,"TX",27.469114,"yes","no","yes",26133,0.19,17.9,50747,25.2,0.1922727416,0.2528769338,0.2922562621,0.1751413634,0.0874526992
552.7662814316,31.8175533437,2013,"TX",27.469114,"yes","no","yes",25757,0.19,17.5,51714,24.8,0.1883200364,0.253148152,0.2919949227,0.1772685061,0.0892683827
552.7662814316,33.2009252282,2014,"TX",27.469114,"yes","no","yes",25532,0.19,17.2,53067,21.4,0.1841715302,0.2523502243,0.292602423,0.179483683,0.0913921395
436.0729791292,33.5440753176,2011,"VT",0.626042,"yes","no","yes",31776,0.27,11.9,52033,8,0.0899171959,0.3166404943,0.2549801261,0.2052767203,0.1331854634
436.0729791292,38.3360860773,2012,"VT",0.626042,"yes","no","yes",33253,0.27,11.9,52700,7.9,0.0874644621,0.3121870518,0.2582945032,0.2072820629,0.13477192
436.0729791292,36.7387491574,2013,"VT",0.626042,"yes","no","yes",34084,0.27,12.3,52511,8.7,0.0861119379,0.30772887,0.2580612412,0.2101610287,0.1379369222
436.0729791292,19.1680430386,2014,"VT",0.626042,"yes","no","yes",34580,0.27,12,54153,6.1,0.0835756733,0.3057989172,0.2586029724,0.2122943942,0.1397280429
413.5754377941,26.6014775391,2011,"VA",8.382993,"yes","no","yes",23944,0.28,11.6,61877,14.3,0.1340652277,0.2563563957,0.2660471209,0.20159216,0.1419390958
413.5754377941,23.2613817046,2012,"VA",8.382993,"yes","no","yes",23952,0.28,11.8,61782,14.2,0.1305043842,0.2524650565,0.2702458345,0.2026608067,0.1441239181
413.5754377941,26.840055813,2013,"VA",8.382993,"yes","no","yes",23606,0.28,11.7,62745,14,0.125496275,0.2515831979,0.2708470509,0.2052103395,0.1468631366
413.5754377941,24.3349839371,2014,"VA",8.382993,"yes","no","yes",23688,0.28,11.8,64923,12.4,0.1211383126,0.25008012,0.271114363,0.207389943,0.1502772615
445.3040950476,33.4411246475,2011,"WI",5.771337,"yes","no","yes",33659,0.06,13.1,50401,10.3,0.1019341514,0.3364909006,0.3012217367,0.172602925,0.0877502863
445.3040950476,33.6143947234,2012,"WI",5.771337,"yes","no","yes",34159,0.06,13.2,51063,10.4,0.0984490398,0.3312767364,0.3062910182,0.1747024109,0.0892807945
445.3040950476,31.5351538127,2013,"WI",5.771337,"yes","no","yes",33823,0.06,13.5,51474,10.6,0.0958447574,0.3283452831,0.3075817405,0.1774667794,0.0907614396
445.3040950476,28.9361026743,2014,"WI",5.771337,"yes","no","yes",33562,0.06,13.2,52632,8.6,0.0924927194,0.3238147544,0.3095148137,0.1810028317,0.0931748808
967.4001504845,66.5407510915,2011,"WY",0.586107,"yes","no","yes",30024,0.02,11.3,56044,17.3,0.0812865064,0.3046489764,0.3719592252,0.1604542352,0.0816510568
967.4001504845,68.2469241964,2012,"WY",0.586107,"yes","no","yes",30778,0.02,11.9,55104,17.3,0.0791897514,0.3054546532,0.3727472137,0.1617128721,0.0808955095
967.4001504845,49.4790200424,2013,"WY",0.586107,"yes","no","yes",30008,0.02,10.9,58424,15.8,0.0764907882,0.2996980312,0.3770625901,0.1647867761,0.0819618144
967.4001504845,73.3654435112,2014,"WY",0.586107,"yes","no","yes",30552,0.02,11.2,58291,14.2,0.0770562952,0.2941028292,0.377616781,0.1679804145,0.0832436801
